Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.18,-.30,-.05,-.39,-.14,-.02,-.80,-.52,-.29,-.17,-.11,-.05,.05,.69
1881,-.09,-.18,.00,-.35,.09,-.07,-.83,-.46,-.20,.08,.10,-.06,-.07,.62
1882,-.11,-.22,-.01,-.31,-.06,.01,-1.33,-.28,-.15,-.07,-.05,.01,.04,.65
1883,-.17,-.28,-.07,-.33,-.18,-.01,-.12,-.55,-.25,-.20,-.16,-.04,.07,.52
1884,-.28,-.43,-.15,-.60,-.16,-.14,-1.25,-.64,-.46,-.14,-.17,-.20,-.02,.67
1885,-.34,-.44,-.25,-.65,-.15,-.27,-1.46,-.69,-.46,-.09,-.21,-.34,-.15,.84
1886,-.32,-.44,-.20,-.56,-.21,-.21,-1.54,-.51,-.40,-.24,-.18,-.20,-.20,.61
1887,-.37,-.45,-.29,-.52,-.32,-.28,-1.72,-.50,-.30,-.33,-.31,-.28,-.26,.34
1888,-.18,-.25,-.11,-.42,.09,-.29,-1.26,-.44,-.25,.04,.14,-.31,-.23,.18
1889,-.11,-.18,-.04,-.29,.07,-.16,-.64,-.23,-.28,-.01,.15,-.15,-.15,.47
1890,-.36,-.40,-.32,-.46,-.38,-.22,-1.09,-.57,-.28,-.29,-.47,-.18,-.27,.17
1891,-.23,-.26,-.19,-.41,-.09,-.21,-1.06,-.33,-.36,-.02,-.17,-.18,-.24,-.14
1892,-.27,-.40,-.15,-.42,-.31,-.08,-1.07,-.64,-.17,-.36,-.26,.02,-.21,.11
1893,-.31,-.47,-.15,-.50,-.37,-.05,-.61,-.53,-.47,-.44,-.31,.07,-.20,-.02
1894,-.31,-.39,-.22,-.32,-.35,-.24,-.92,-.32,-.19,-.51,-.19,-.15,-.35,-.36
1895,-.23,-.31,-.15,-.40,-.09,-.26,-.66,-.52,-.27,-.17,.00,-.19,-.32,-.56
1896,-.12,-.20,-.03,-.35,.08,-.15,-.86,-.37,-.23,.03,.14,-.15,-.13,.28
1897,-.11,-.17,-.05,-.35,.15,-.23,-.54,-.46,-.25,.11,.20,-.19,-.27,.42
1898,-.28,-.30,-.26,-.36,-.24,-.26,-1.17,-.25,-.24,-.21,-.26,-.28,-.21,.40
1899,-.18,-.22,-.14,-.24,-.13,-.19,-1.04,-.09,-.15,-.18,-.08,-.15,-.22,.60
1900,-.09,-.11,-.07,-.21,.16,-.30,-.56,-.17,-.16,.06,.25,-.29,-.29,.29
1901,-.16,-.13,-.18,-.17,-.05,-.30,-.37,-.12,-.15,-.08,-.02,-.27,-.34,.28
1902,-.29,-.35,-.22,-.54,-.05,-.35,-1.53,-.51,-.32,-.04,-.06,-.28,-.43,-.03
1903,-.38,-.39,-.37,-.47,-.30,-.38,-.23,-.43,-.56,-.27,-.34,-.35,-.40,-.48
1904,-.48,-.50,-.46,-.52,-.48,-.44,-.21,-.61,-.56,-.47,-.49,-.37,-.49,-1.31
1905,-.27,-.30,-.23,-.42,-.10,-.36,-.06,-.24,-.63,-.14,-.06,-.33,-.37,-.32
1906,-.23,-.24,-.21,-.26,-.19,-.23,-.27,-.08,-.40,-.20,-.18,-.21,-.22,-.70
1907,-.39,-.48,-.30,-.60,-.32,-.29,-.59,-.74,-.53,-.32,-.31,-.21,-.37,-1.19
1908,-.43,-.47,-.40,-.49,-.45,-.36,-.26,-.56,-.52,-.44,-.47,-.29,-.48,.69
1909,-.49,-.51,-.48,-.55,-.49,-.44,-.77,-.64,-.45,-.46,-.53,-.37,-.52,-.56
1910,-.45,-.46,-.43,-.43,-.51,-.38,-.63,-.25,-.50,-.51,-.51,-.33,-.45,.17
1911,-.45,-.43,-.47,-.43,-.44,-.48,-.30,-.42,-.48,-.44,-.45,-.44,-.53,.06
1912,-.37,-.48,-.26,-.61,-.21,-.37,-.52,-.80,-.51,-.29,-.11,-.37,-.29,-1.62
1913,-.35,-.43,-.26,-.45,-.28,-.35,-.51,-.34,-.52,-.41,-.15,-.28,-.40,-1.03
1914,-.16,-.20,-.11,-.26,-.07,-.18,-.39,-.17,-.29,-.13,-.02,-.15,-.18,-.35
1915,-.15,-.15,-.13,-.24,-.02,-.22,-.61,-.17,-.20,-.02,-.02,-.15,-.23,-1.97
1916,-.37,-.44,-.31,-.38,-.46,-.23,-.54,-.55,-.25,-.51,-.41,-.23,-.17,-1.04
1917,-.47,-.59,-.36,-.51,-.65,-.19,-.84,-.51,-.44,-.71,-.59,-.23,-.09,.07
1918,-.30,-.41,-.20,-.42,-.35,-.14,-1.04,-.28,-.36,-.40,-.29,-.06,-.23,-.27
1919,-.28,-.36,-.20,-.44,-.21,-.22,-.72,-.57,-.31,-.25,-.18,-.15,-.32,.21
