Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1894,-.53,-.29,-.23,-.45,-.31,-.41,-.24,-.24,-.28,-.23,-.26,-.21,-.31,-.32,-.38,-.33,-.29,-.26
1895,-.41,-.43,-.33,-.22,-.28,-.21,-.17,-.17,-.12,-.11,-.17,-.14,-.23,-.24,-.35,-.28,-.18,-.13
1896,-.23,-.13,-.27,-.31,-.16,-.11,-.03,-.06,-.08,.06,-.05,-.05,-.12,-.12,-.17,-.24,-.07,-.02
1897,-.16,-.17,-.14,-.03,-.02,-.12,-.03,-.09,-.09,-.13,-.18,-.21,-.11,-.10,-.13,-.06,-.08,-.13
1898,-.03,-.31,-.52,-.31,-.31,-.20,-.23,-.27,-.22,-.35,-.39,-.24,-.28,-.28,-.18,-.38,-.23,-.32
1899,-.17,-.39,-.36,-.20,-.23,-.31,-.16,-.09,-.06,-.04,.12,-.27,-.18,-.18,-.27,-.27,-.19,.01
1900,-.37,-.06,.00,-.10,-.09,-.11,-.13,-.09,-.06,.09,-.07,-.07,-.09,-.11,-.24,-.07,-.11,-.01
1901,-.22,-.12,.05,-.03,-.15,-.12,-.15,-.21,-.23,-.29,-.17,-.27,-.16,-.14,-.14,-.04,-.16,-.23
1902,-.17,-.09,-.28,-.28,-.33,-.32,-.28,-.30,-.29,-.30,-.37,-.43,-.29,-.27,-.18,-.30,-.30,-.32
1903,-.25,-.06,-.24,-.42,-.40,-.43,-.35,-.46,-.50,-.47,-.43,-.52,-.38,-.37,-.25,-.35,-.41,-.47
1904,-.64,-.59,-.51,-.51,-.52,-.49,-.51,-.49,-.56,-.39,-.18,-.34,-.48,-.49,-.58,-.52,-.50,-.38
1905,-.36,-.60,-.22,-.35,-.30,-.29,-.27,-.21,-.19,-.25,-.08,-.14,-.27,-.29,-.43,-.29,-.25,-.18
1906,-.28,-.29,-.18,-.06,-.26,-.19,-.23,-.20,-.28,-.20,-.38,-.15,-.23,-.22,-.23,-.16,-.21,-.29
1907,-.44,-.52,-.28,-.38,-.47,-.42,-.36,-.35,-.35,-.23,-.47,-.47,-.39,-.37,-.37,-.37,-.38,-.35
1908,-.45,-.33,-.56,-.45,-.38,-.39,-.36,-.46,-.36,-.45,-.53,-.50,-.43,-.43,-.42,-.46,-.40,-.44
1909,-.74,-.47,-.55,-.60,-.55,-.52,-.46,-.34,-.39,-.40,-.33,-.57,-.49,-.49,-.57,-.57,-.44,-.37
1910,-.43,-.43,-.52,-.43,-.35,-.40,-.35,-.37,-.39,-.41,-.58,-.68,-.45,-.44,-.48,-.43,-.37,-.46
1911,-.63,-.58,-.62,-.54,-.52,-.51,-.43,-.44,-.41,-.27,-.22,-.22,-.45,-.49,-.63,-.56,-.46,-.30
1912,-.27,-.16,-.39,-.19,-.22,-.25,-.43,-.55,-.58,-.58,-.40,-.44,-.37,-.35,-.22,-.27,-.41,-.52
1913,-.41,-.46,-.43,-.40,-.45,-.46,-.37,-.34,-.35,-.33,-.20,-.03,-.35,-.39,-.44,-.43,-.39,-.29
1914,.04,-.10,-.25,-.30,-.22,-.26,-.24,-.17,-.17,-.04,-.16,-.04,-.16,-.16,-.03,-.25,-.22,-.12
1915,-.21,-.04,-.10,.06,-.06,-.22,-.13,-.23,-.21,-.25,-.14,-.21,-.15,-.13,-.10,-.04,-.19,-.20
1916,-.14,-.16,-.29,-.31,-.36,-.50,-.37,-.28,-.37,-.34,-.47,-.82,-.37,-.32,-.17,-.32,-.39,-.39
1917,-.58,-.64,-.64,-.56,-.56,-.44,-.26,-.23,-.23,-.45,-.35,-.69,-.47,-.48,-.68,-.58,-.31,-.34
1918,-.48,-.35,-.25,-.45,-.44,-.37,-.32,-.32,-.18,-.07,-.12,-.30,-.30,-.34,-.51,-.38,-.34,-.12
1919,-.21,-.24,-.22,-.14,-.28,-.37,-.30,-.34,-.26,-.21,-.42,-.43,-.28,-.27,-.25,-.21,-.33,-.30
1920,-.25,-.27,-.13,-.25,-.28,-.36,-.31,-.27,-.22,-.27,-.28,-.47,-.28,-.28,-.32,-.22,-.31,-.26
1921,-.06,-.18,-.24,-.30,-.31,-.27,-.16,-.27,-.20,-.04,-.16,-.18,-.20,-.22,-.24,-.28,-.23,-.13
1922,-.35,-.45,-.16,-.24,-.34,-.31,-.28,-.33,-.36,-.32,-.15,-.20,-.29,-.29,-.33,-.24,-.31,-.28
1923,-.28,-.40,-.35,-.42,-.34,-.30,-.32,-.34,-.32,-.14,-.03,-.04,-.27,-.29,-.29,-.37,-.32,-.16
